month,rmindex,Crime...Justice,Trucks...SUVs,Hybrid...Alternative.Vehicles
2004/01/01,126,9.30759586085947,4.22777983369917,22.4787986109463
2004/02/01,126.8,5.90016497577771,13.8199434077912,21.5949887313813
2004/03/01,130.4,16.6163147390375,21.3591694240342,16.050062727341
2004/04/01,124.4,16.7476041123935,3.84354388492033,6.12715313845017
2004/05/01,125,29.4321700344432,3.63482251132061,10.8799172314572
2004/06/01,125.6,25.2121796334891,5.40818390671912,-8.40774550449784
2004/07/01,128.9,14.228178639729,9.3354152797107,-12.0439887433714
2004/08/01,127.6,13.7824947595667,11.4902050877764,1.99597306079955
2004/09/01,126,17.2140007036475,7.67339312531726,-20.5716087292263
2004/10/01,128.9,24.6230904909687,13.2172150142586,20.2749575553587
2004/11/01,124.8,8.69366173364278,11.6073566295642,4.65010322720398
2004/12/01,125.5,1.61000815420181,10.739838832657,15.3682761416762
2005/01/01,133.2,-10.6924041391405,15.7277798336992,4.47879861094635
2005/02/01,132,7.26776302213863,19.2198831592002,17.2892568294773
2005/03/01,121.5,9.61631473903753,4.35916942403424,14.550062727341
2005/04/01,119.4,9.74760411239355,24.3435438849204,31.1271531384502
2005/05/01,119.5,8.43217003444314,15.6348225113206,27.8799172314571
2005/06/01,118.8,3.71217963348912,9.4081839067191,-12.9077455044978
2005/07/01,116.8,6.22817863972903,12.3354152797107,14.4560112566286
2005/08/01,120.6,3.00095362377948,13.1789967175848,13.2416725218881
2005/09/01,114.3,0.71400070364754,9.67339312531728,77.4283912707737
2005/10/01,105.4,10.1230904909686,8.71721501425865,80.2749575553587
2005/11/01,110.6,28.1936617336428,2.10735662956418,24.150103227204
2005/12/01,117.7,22.6100081542018,7.23983883265695,-1.63172385832381
2006/01/01,124.3,2.30759586085948,16.2277798336992,-1.02120138905366
2006/02/01,124.5,10.2677630221386,11.7198831592002,8.78925682947732
2006/03/01,124.4,19.1163147390375,-0.14083057596576,-8.94993727265901
2006/04/01,120.1,17.7476041123935,5.84354388492033,-3.87284686154983
2006/05/01,106.8,6.09215318755713,9.6296430040115,21.121495958048
2006/06/01,115.1,5.71217963348912,10.4081839067191,-21.4077455044978
2006/07/01,118.1,8.22817863972904,15.8354152797107,1.45601125662863
2006/08/01,103.7,9.00095362377948,4.17899671758484,44.7416725218881
2006/09/01,108.6,12.2140007036475,6.67339312531726,39.4283912707737
2006/10/01,115.8,4.12309049096864,9.71721501425866,19.2749575553587
2006/11/01,111.5,-5.30633826635722,16.1073566295642,33.150103227204
2006/12/01,117.4,-4.38999184579818,16.739838832657,4.86827614167619
2007/01/01,123.9,8.26367302285152,10.2951923102204,-3.48897111956481
2007/02/01,123.8,-4.73223697786137,15.7198831592002,5.78925682947732
2007/03/01,120.7,-3.38368526096249,16.8591694240342,24.550062727341
2007/04/01,124.3,-12.2523958876065,13.8435438849204,-1.87284686154981
2007/05/01,122.5,-1.90784681244287,19.1296430040115,0.62149595804802
2007/06/01,122.3,-0.28782036651088,18.4081839067191,-8.40774550449784
2007/07/01,126.8,-1.77182136027097,20.8354152797107,-8.54398874337135
2007/08/01,125.2,12.0009536237795,22.6789967175849,-11.7583274781119
2007/09/01,118.2,22.2140007036475,22.1733931253173,-12.5716087292263
2007/10/01,126.2,28.6524356157191,36.9949063430329,-7.12214145318588
2007/11/01,124.9,30.6936617336428,34.1073566295642,-2.34989677279601
2007/12/01,126.8,34.6100081542018,25.739838832657,10.3682761416762
2008/01/01,118.6,46.2636730228515,32.7951923102204,30.0110288804352
2008/02/01,115.8,48.2677630221386,30.7198831592002,13.7892568294773
2008/03/01,109.5,61.6163147390375,27.3591694240342,20.550062727341
2008/04/01,100.1,65.0592338671742,34.2962526921971,9.99089609799639
2008/05/01,97.1,72.0921531875572,29.6296430040115,21.121495958048
2008/06/01,90.7,78.7121796334891,31.4081839067191,158.592254495502
2008/07/01,92,72.0669579837035,29.8382414606785,89.9779151861544
2008/08/01,94.7,77.5009536237795,17.6789967175849,23.2416725218881
2008/09/01,101.2,66.1116850136185,22.0886913540921,-1.75334568392114
2008/10/01,90.4,79.6524356157191,12.4949063430329,-6.62214145318587
2008/11/01,93.1,73.1936617336428,19.1073566295642,-2.34989677279601
2008/12/01,99.8,78.3645910327376,21.330745637945,6.06759185429885
2009/01/01,101.1,80.2636730228515,16.7951923102204,0.01102888043521
2009/02/01,94.9,85.2677630221386,16.2198831592002,-8.21074317052269
2009/03/01,95.8,83.6163147390375,33.3591694240342,-20.949937272659
2009/04/01,102,74.5592338671742,18.7962526921971,-15.0091039020036
2009/05/01,101.8,75.0921531875572,25.6296430040115,-20.878504041952
2009/06/01,109.6,72.920118205856,30.7597230650957,-40.249366681585
2009/07/01,114.9,70.0669579837035,25.3382414606785,-33.5220848138458
2009/08/01,121.4,67.0009536237795,31.6789967175849,-19.7583274781119
2009/09/01,122.9,69.6116850136185,36.0886913540921,-34.7533456839212
2009/10/01,127,56.6524356157191,36.4949063430329,-23.6221414531859
2009/11/01,125.9,62.6936617336428,36.6073566295642,-16.849896772796
2009/12/01,123.2,59.8645910327376,41.330745637945,-0.93240814570116
2010/01/01,128.7,67.2636730228515,30.2951923102204,-9.98897111956478
2010/02/01,126.3,57.8853610383016,25.2448229186777,-17.0164750298537
2010/03/01,127.6,44.7568526775889,32.49379388163,-8.66234687434592
2010/04/01,125.4,52.0592338671742,29.7962526921971,-26.5091039020036
2010/05/01,119.9,44.0921531875572,32.1296430040115,-30.878504041952
2010/06/01,119.2,57.920118205856,29.2597230650956,-52.249366681585
