Index,US,CA,GB,DE,FR,IT,AU,JP,IN
2008/10/01,109082,34688,53020,24697,23337,12468,66742,107116,31702
2008/11/01,100233,36156,52339,22482,21210,10240,49281,117348,23810
2008/12/01,87944,34658,43302,16763,17038,7953,56074,131671,26246
2009/01/01,76682,28523,41185,14459,14669,7207,63091,94146,22309
2009/02/01,67687,25205,40448,15637,14811,6236,42126,109012,17382
2009/03/01,98750,34809,56998,21099,17696,8999,55672,112937,25819
2009/04/01,98067,33997,51742,22084,22187,10157,65686,81442,28976
2009/05/01,82771,30800,36204,16291,18047,8441,53302,78156,37742
2009/06/01,87574,21951,31520,13187,14280,7164,44594,70886,40158
2009/07/01,96512,29315,37283,14172,19464,7467,46956,95762,29945
2009/08/01,84269,26928,39212,15129,21937,9846,40430,110854,25909
2009/09/01,77021,23987,37468,15928,14540,7304,54221,125475,33493
2009/10/01,105758,35902,49949,24638,21627,12130,61815,94828,39810
2009/11/01,102851,36978,51988,21975,20810,10775,51804,110671,30587
2009/12/01,92131,33527,39987,16229,17500,7589,59192,120321,34516
2010/01/01,92278,29889,44429,18074,16778,9024,62726,114839,32858
2010/02/01,65200,25180,40980,13732,14110,5533,36254,86106,19748
2010/03/01,107765,35978,60887,23985,20881,11400,58473,133252,40938
2010/04/01,105080,35759,45578,22165,21757,11744,56247,95427,47942
2010/05/01,95129,34962,36685,18960,21199,10117,48395,109250,67439
2010/06/01,100162,25362,30976,15173,15694,8084,50814,104485,64053
2010/07/01,102944,34471,36626,16108,20616,9080,51282,102954,43383
2010/08/01,84439,31879,36942,16473,24210,10785,42383,116658,36626
2010/09/01,93062,29451,37633,18496,16724,8789,64830,119919,42784
2010/10/01,121965,45045,51923,27338,26818,13863,66062,99873,49314
2010/11/01,110082,40611,54792,23077,22658,11962,53634,113034,43826
2010/12/01,93313,35665,38242,16855,18519,8534,59581,120821,41999
2011/01/01,94367,33603,42021,16833,16999,9284,62042,113373,35008
2011/02/01,71466,26655,40391,15561,15686,6304,37112,99430,22201
